Country1,Country2,Sentence
France,Russia,"After a period of diplomatic and military escalation known as the July Crisis, by the end of July 1914 two coalitions were at war: the Allies, comprised initially of the British Empire, France, and the Russian Empire; and the Central Powers, comprised initially of the German Empire and Austria-Hungary.[1][2]
In 1917, Russia ended hostile actions against the Central Powers after the fall of the Tsar."
Germany,Russia,"The Bolsheviks negotiated the Treaty of Brest-Litovsk with Germany, although it was a huge cost to Russia."
Germany,Italy,"Germany, 1933
Fascism first appeared in Italy with the rise to power of Benito Mussolini in 1922.[28]"
Germany,Germany,"The ideology was supported by a large proportion of the upper classes as a strong challenge to the threat of communism.[29]
When Adolf Hitler came to power in Germany in 1933, a new variant of fascism called Nazism took over Germany and ended the German experiment with democracy."
Germany,Germany,"The Nazi Party in Germany was dedicated to the restoration of German honor and prestige, the unification of German-speaking peoples, and the annexation of Central and Eastern Europe as vassal states, with the Slavic population to act as slave labor to serve German economic interests.[30]  There was also a strong appeal to a mythical racial purity (the idea that Germans were the Herrenvolk or the ""master race""), and a vicious antisemitism which promoted the idea of Jews as subhuman (Untermensch) and worthy only of extermination.[31]
Many people in Western Europe and the United States greeted the rise of Hitler with relief or indifference.[32] They could see nothing wrong with a strong Germany ready to take on the communist menace to the east."
France,Germany,"Britain and France, much to Hitler's surprise, immediately declared war upon Germany, but the help they delivered to Poland was negligible.[39]"
Japan,Germany,"Parts of the German brass advised against declaring war on the US, arguing that since Japan was the aggressor, the Tripartite Pact didn't bind Germany to do so."
Japan,Russia,"However, Hitler hoped that Japan would be able to quickly defeat the US and then turn its attention on helping the effort against Russia."
Germany,Italy,"Both Germany and Italy declared war on the United States a few days after the attack.[72]

Turning tides[edit]
A British soldier gives a V gesture to German prisoners captured at El Alamein, 26 October 1942
Throughout the rest of 1942 and 1943, the Soviets began to gain ground against the Germans after some victories like the tank battle of Kursk.[73]"
Italy,Italy,"On 9 September, the invasion of Italy began.[77] By the winter of 1943, the southern half of Italy was in Allied hands."
Japan,China,"The war in the Pacific[edit]
Main article: Asiatic-Pacific Theater
Background[edit]
The first event that is usually linked to the later Pacific conflict was the Mukden Incident of 18 September 1931, during which the Japanese military staged the bombing of the South Manchuria Railway and pinned the blame on Chinese dissidents.[94] Japan then used this as pretext to invade northeastern China the next day and turn the region of Manchuria into the Japanese puppet state of Manchukuo.[95]"
Japan,China,"In 1934 Manchukuo became a constitutional monarchy and the former Chinese Emperor Pu Yi was placed on the throne, despite the real power being held by Japan.[96]
Despite relations between Japan and China suffering because the occupation of Manchuria, the situation did not turn into all-out war until 7 July 1937, when a dispute between Chinese and Japanese soldiers turned into a battle during the Marco Polo Bridge Incident.[97]"
